Province,Country,Lat,Long,date,cases,type
,Afghanistan,33,65,22/01/2020,0,confirmed
,Afghanistan,33,65,23/01/2020,0,confirmed
,Afghanistan,33,65,24/01/2020,0,confirmed
,Afghanistan,33,65,25/01/2020,0,confirmed
,Afghanistan,33,65,26/01/2020,0,confirmed
,Afghanistan,33,65,27/01/2020,0,confirmed
,Afghanistan,33,65,28/01/2020,0,confirmed
,Afghanistan,33,65,29/01/2020,0,confirmed
,Afghanistan,33,65,30/01/2020,0,confirmed
,Afghanistan,33,65,31/01/2020,0,confirmed
,Afghanistan,33,65,01/02/2020,0,confirmed
,Afghanistan,33,65,02/02/2020,0,confirmed
,Afghanistan,33,65,03/02/2020,0,confirmed
,Afghanistan,33,65,04/02/2020,0,confirmed
,Afghanistan,33,65,05/02/2020,0,confirmed
,Afghanistan,33,65,06/02/2020,0,confirmed
,Afghanistan,33,65,07/02/2020,0,confirmed
,Afghanistan,33,65,08/02/2020,0,confirmed
,Afghanistan,33,65,09/02/2020,0,confirmed
,Afghanistan,33,65,10/02/2020,0,confirmed
,Afghanistan,33,65,11/02/2020,0,confirmed
,Afghanistan,33,65,12/02/2020,0,confirmed
,Afghanistan,33,65,13/02/2020,0,confirmed
,Afghanistan,33,65,14/02/2020,0,confirmed
,Afghanistan,33,65,15/02/2020,0,confirmed
,Afghanistan,33,65,16/02/2020,0,confirmed
,Afghanistan,33,65,17/02/2020,0,confirmed
,Afghanistan,33,65,18/02/2020,0,confirmed
,Afghanistan,33,65,19/02/2020,0,confirmed
,Afghanistan,33,65,20/02/2020,0,confirmed
,Afghanistan,33,65,21/02/2020,0,confirmed
,Afghanistan,33,65,22/02/2020,0,confirmed
,Afghanistan,33,65,23/02/2020,0,confirmed
,Afghanistan,33,65,24/02/2020,1,confirmed
,Afghanistan,33,65,25/02/2020,0,confirmed
,Afghanistan,33,65,26/02/2020,0,confirmed
,Afghanistan,33,65,27/02/2020,0,confirmed
,Afghanistan,33,65,28/02/2020,0,confirmed
,Afghanistan,33,65,29/02/2020,0,confirmed
,Afghanistan,33,65,01/03/2020,0,confirmed
,Afghanistan,33,65,02/03/2020,0,confirmed
,Afghanistan,33,65,03/03/2020,0,confirmed
,Afghanistan,33,65,04/03/2020,0,confirmed
,Afghanistan,33,65,05/03/2020,0,confirmed
,Afghanistan,33,65,06/03/2020,0,confirmed
,Afghanistan,33,65,07/03/2020,0,confirmed
,Afghanistan,33,65,08/03/2020,3,confirmed
,Afghanistan,33,65,09/03/2020,0,confirmed
,Afghanistan,33,65,10/03/2020,1,confirmed
,Afghanistan,33,65,11/03/2020,2,confirmed
